Category: All categories

Region,banjir: (11/11/25 - 12/11/25)
Aceh,100
North Sumatra,66
West Sumatra,47
Riau,29
Bangka Belitung Islands,28
Special Capital Region of Jakarta,27
Riau Islands,24
Bengkulu,24
Special Region of Yogyakarta,23
Banten,22
West Java,21
West Kalimantan,21
East Java,20
Jambi,20
Central Java,19
South Sumatra,18
Lampung,18
East Kalimantan,18
South Kalimantan,18
South Sulawesi,16
Central Kalimantan,15
West Nusa Tenggara,15
North Kalimantan,14
Gorontalo,14
South East Sulawesi,14
Central Sulawesi,14
West Sulawesi,14
East Nusa Tenggara,13
Papua,13
Bali,13
Maluku,13
North Sulawesi,12
West Papua,11
North Maluku,11
