Category: All categories
"banjir: (11/11/25 - 12/11/25, Indonesia)"

TOP
Flood,100
Sumatra,22
Aceh,12
Flash flood,10
Disaster,9
Casualty,6
Region,5
Medan,4
North Sumatra,4
Sibolga,4
West Sumatra,3
Landslide,3
Coastal flood,3
Nature,2
Rain,2
Padang,2
Territory,2
Forest,2
Aceh Tamiang Regency,1
Central Tapanuli Regency,1
Gift,1
Banjir Sumatera,1
Prabowo Subianto,1
Oil palms,1
Banjir Sumatera,1

RISING
Sibolga,Breakout
Central Tapanuli Regency,Breakout
Banjir Sumatera,Breakout
Banjir Sumatera,Breakout
2024 Sumatra flash floods,Breakout
North Aceh Regency,Breakout
North Tapanuli Regency,Breakout
South Tapanuli Regency,Breakout
Lhokseumawe,Breakout
Langkat Regency,Breakout
Aceh Tamiang Regency,"+3,950%"
Sumatra,"+3,750%"
North Sumatra,"+3,300%"
Aceh,"+2,150%"
Pasuruan,"+1,850%"
Langsa,"+1,750%"
West Sumatra,"+1,450%"
2024 West Sumatra floods,"+1,000%"
Gift,"+1,000%"
Padang,+800%
Takengon,+550%
Oil palms,+500%
Banda Aceh,+500%
Prabowo Subianto,+400%
West Karawang,+300%

